borehole,passing,seive,latitude,longitude
BH-0,100,25,33.20277107,-112.461897
BH-0,97.99,19,,
BH-0,94.25,9.5,,
BH-0,84.97,4.75,,
BH-0,72,2.00,,
BH-0,59.03,0.850,,
BH-0,46.51,0.425,,
BH-0,38,0.250,,
BH-0,28.98,0.150,,
BH-0,21.24,0.075,,
BH-1,100,75,34.85491752,-113.4275813
BH-1,100,50,,
BH-1,100,37.5,,
BH-1,100,25,,
BH-1,100,19,,
BH-1,100,9.5,,
BH-1,98.5,4.75,,
BH-1,95.9,2.00,,
BH-1,92.8,0.850,,
BH-1,80.9,0.425,,
BH-1,34.8,0.250,,
BH-1,9.1,0.150,,
BH-1,5.4,0.075,,
BH-1,3.8,0.036,,
BH-1,2.9,0.013,,
BH-1,1.7,0.007,,
BH-1,1.2,0.003,,
BH-1,1,0.001,,
BH-2,100,75,34.07091449,-112.3659022
BH-2,100,50,,
BH-2,100,37.5,,
BH-2,100,25,,
BH-2,100,19,,
BH-2,100,9.5,,
BH-2,98.5,4.75,,
BH-2,95.9,2.00,,
BH-2,92.8,0.850,,
BH-2,80.9,0.425,,
BH-2,34.8,0.250,,
BH-2,9.1,0.150,,
BH-2,5.4,0.075,,
BH-2,3.8,0.036,,
BH-2,2.9,0.013,,
BH-2,1.7,0.007,,
BH-2,1.2,0.003,,
BH-2,1,0.001,,
BH-3,100,75,35.06724266,-111.0650739
BH-3,100,50,,
BH-3,100,37.5,,
BH-3,100,25,,
BH-3,100,19,,
BH-3,100,9.5,,
BH-3,100,4.75,,
BH-3,100,2.00,,
BH-3,100,0.850,,
BH-3,99.7,0.425,,
BH-3,98.9,0.250,,
BH-3,96.5,0.150,,
BH-3,68.8,0.075,,
BH-3,34.1,0.036,,
BH-3,10.2,0.013,,
BH-3,5.7,0.007,,
BH-3,4.3,0.003,,
BH-3,3.1,0.001,,
BH-4,100,75,32.85528793,-112.6969892
BH-4,100,50,,
BH-4,100,37.5,,
BH-4,100,25,,
BH-4,100,19,,
BH-4,100,9.5,,
BH-4,99.9,4.75,,
BH-4,99.8,2.00,,
BH-4,99.7,0.850,,
BH-4,97.4,0.425,,
BH-4,66.7,0.250,,
BH-4,26.5,0.150,,
BH-4,12.2,0.075,,
BH-4,7.3,0.036,,
BH-4,5.4,0.013,,
BH-4,3.1,0.007,,
BH-4,1.5,0.003,,
BH-4,1.3,0.001,,
BH-5,100,75,34.19879318,-113.4334377
BH-5,100,50,,
BH-5,100,37.5,,
BH-5,100,25,,
BH-5,100,19,,
BH-5,100,9.5,,
BH-5,100,4.75,,
BH-5,99.9,2.00,,
BH-5,98.9,0.850,,
BH-5,96.8,0.425,,
BH-5,92,0.250,,
BH-5,77.3,0.150,,
BH-5,61,0.075,,
BH-5,50.8,0.036,,
BH-5,43.8,0.013,,
BH-5,37.3,0.007,,
BH-5,28.6,0.003,,
BH-5,19.6,0.001,,
BH-6,100,75,35.2356432,-113.7419422
BH-6,100,50,,
BH-6,100,37.5,,
BH-6,100,25,,
BH-6,100,19,,
BH-6,100,9.5,,
BH-6,100,4.75,,
BH-6,99.9,2.00,,
BH-6,99.6,0.850,,
BH-6,98.1,0.425,,
BH-6,92.8,0.250,,
BH-6,75,0.150,,
BH-6,47.2,0.075,,
BH-6,21,0.036,,
BH-6,12.7,0.013,,
BH-6,9.6,0.007,,
BH-6,6.6,0.003,,
BH-6,6,0.001,,
BH-7,100,75,35.53438704,-113.5619635
BH-7,100,50,,
BH-7,100,37.5,,
BH-7,100,25,,
BH-7,100,19,,
BH-7,100,9.5,,
BH-7,99.9,4.75,,
BH-7,99.6,2.00,,
BH-7,98,0.850,,
BH-7,88,0.425,,
BH-7,53,0.250,,
BH-7,17.5,0.150,,
BH-7,8.6,0.075,,
BH-7,5.8,0.036,,
BH-7,4.6,0.013,,
BH-7,3.2,0.007,,
BH-7,1.5,0.003,,
BH-7,1.3,0.001,,
BH-8,100,75,35.46906869,-113.7007563
BH-8,100,50,,
BH-8,100,37.5,,
BH-8,100,25,,
BH-8,100,19,,
BH-8,100,9.5,,
BH-8,99.5,4.75,,
BH-8,97.3,2.00,,
BH-8,93.8,0.850,,
BH-8,71.4,0.425,,
BH-8,29,0.250,,
BH-8,17.1,0.150,,
BH-8,12.2,0.075,,
BH-8,6.8,0.036,,
BH-8,3.7,0.013,,
BH-8,2.2,0.007,,
BH-8,1.6,0.003,,
BH-8,1,0.001,,
BH-9,100,75,32.99069032,-111.4527553
BH-9,100,50,,
BH-9,100,37.5,,
BH-9,100,25,,
BH-9,100,19,,
BH-9,100,9.5,,
BH-9,99.6,4.75,,
BH-9,99.2,2.00,,
BH-9,95.6,0.850,,
BH-9,75.7,0.425,,
BH-9,44.4,0.250,,
BH-9,32.6,0.150,,
BH-9,24.8,0.075,,
BH-9,15,0.036,,
BH-9,10.7,0.013,,
BH-9,8.1,0.007,,
BH-9,6,0.003,,
BH-9,4.6,0.001,,
BH-10,100,75,32.45250095,-113.4094373
BH-10,100,50,,
BH-10,100,37.5,,
BH-10,100,25,,
BH-10,100,19,,
BH-10,98.7,9.5,,
BH-10,94.4,4.75,,
BH-10,85.3,2.00,,
BH-10,70.1,0.850,,
BH-10,53,0.425,,
BH-10,37.6,0.250,,
BH-10,25.6,0.150,,
BH-10,18.3,0.075,,
BH-10,13.6,0.036,,
BH-10,7.2,0.013,,
BH-10,5.1,0.007,,
BH-10,3.3,0.003,,
BH-10,2.3,0.001,,
